id,name,name_jap,desc,desc_jap
0,Flowered Collar,花がらの首輪,A small collar with a flower%rprint pattern.,花がらの小さな首輪
1,Soft Brush,柔らかいブラシ,A soft brush for fur.,柔らかな毛のブラシ
2,Glow Bracelet,ひかる輪っか,Something to wear at evening%revents.,夜店で売られているあれ
3,Cicada Skin,せみのぬけがら,The cast-off skin from a%rmolting cicada.,硬くて軽い抜け殻
4,Shiny Acorn,つやつやのどんぐり,An acorn with a shiny shell.,つやつやで綺麗などんぐり
5,Seashell Earring,貝がらのイヤリング,A lovely drop earring with%ra small seashell.,綺麗な貝がらに%r小さいビーズがつけられている
6,Aluminum Pins,缶バッヂ,They make rattling noises%rwhen you shake them.,当たるとカチャカチャと音がする
7,Damp Matchbox,湿気ったマッチ,The matches are too damp%rto light.,湿気ってしまって火はつかない
8,Random Seeds,なにかの種,Random seeds.,なんの種かわからない
9,Teaser Toy Tip,猫じゃらしの先っぽ,A trophy from a hard-fought%rbattle?,今まで戦った戦利品？
10,Raffle Ticket,くじびき券,A ticket for a store raffle.,どこかの商店街のくじびき券
11,Flower Bookmark,押し花のしおり,A bookmark made from a%rpurple pressed flower.,紫色の花がついたしおり
12,Small Mittens,小さな軍手,Small、 handmade mittens.,手作りの小さな軍手
13,Dirty Toy Animal,汚れたぬいぐるみ,A gently used small stuffed%rpenguin.,小さなペンギン(?)のぬいぐるみ
14,Fish-stick Board,かまぼこの板,A small、 pungent board that%ronce held fish sticks.,ほのかにかまぼこの香りがする板
15,Hourglass,砂時計,An hourglass filled with%rblue sand.,青い砂の入った砂時計
16,Used Hand Warmer,使い捨てカイロ,A disposable hand warmer%rthat's already been used.,使い終わってカッチカチ%rになっているカイロ
17,Silent Bell,ならない鈴,A small bell that does%rnot ring.,ならないように細工された鈴
18,Toy Mirror,オモチャの手鏡,A small、 sturdy mirror.,丈夫でちいさな手鏡
19,Colored Candles,カラーロウソク,A colorful assortment%rof candles.,色付きのカラフルなロウソク
20,Scuffed Dime,古い十円玉,A coin with grooves around%rthe edge.,側面がギザギザしている
